method_family,method,amount,task,source_model_label,pruning_seed,score_batch_seed,log10_rescale_left,log10_rescale_right,rescale_left,rescale_right,bin_width_log10,count
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,3.6,3.8000000000000003,3981.0717055349733,6309.573444801937,0.2,76
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,3.8000000000000003,4.0,6309.573444801937,10000.0,0.2,59
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,4.0,4.2,10000.0,15848.93192461114,0.2,23
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,4.2,4.4,15848.93192461114,25118.864315095823,0.2,22
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,4.4,4.6000000000000005,25118.864315095823,39810.71705534977,0.2,18
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,4.6000000000000005,4.800000000000001,39810.71705534977,63095.73444801943,0.2,2
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,4.800000000000001,5.000000000000001,63095.73444801943,100000.0000000002,0.2,11
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,5.0,5.2,100000.0,158489.3192461114,0.2,4
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,5.2,5.4,158489.3192461114,251188.6431509582,0.2,1
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,5.4,5.6000000000000005,251188.6431509582,398107.17055349774,0.2,1
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,5.800000000000001,6.000000000000001,630957.3444801943,1000000.0000000021,0.2,1
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,100001,0.0,0.2,1.0,1.5848931924611136,0.2,8417
