method_family,method,amount,task,source_model_label,pruning_seed,score_batch_seed,positive_prob_count,rescale_min,rescale_mean,rescale_std,rescale_q50,rescale_q75,rescale_q90,rescale_q95,rescale_q99,rescale_q999,rescale_max,frac_rescale_gt10,frac_rescale_gt20,score_sum,score_max,scale_factor,capped_probs,sigma_used,adaptive_shift,adaptive_attempt
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,1,100001,261632,1.0,36.979099966152745,1542.2597807565244,5.644914867087892,11.419758639476228,28.293494509873263,56.351771781899814,272.96473247115665,2784.5793660099935,452714.55979080155,0.2853129586594912,0.14187866927592954,52295.928871821685,1.0,0.0024376396284733004,246,1.8308815280206752,nan,-1
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,100002,261632,1.0,36.91967219295928,1531.1820001439748,5.6464561635309956,11.420584885834849,28.299938593589044,56.37245026652774,272.1007206679979,2778.8155173398304,448859.14456470055,0.28519447162426614,0.14192835738747553,52296.32146471681,1.0,0.0024374888040386167,249,1.8310589778589164,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,100000,261632,1.0,63.052095820161675,12110.219205051562,6.3233222986258735,13.208510617890365,33.56161529903846,66.82174426421481,331.2978268253853,2849.6823083388363,5959451.163056538,0.3269439518101761,0.16700938723091976,51370.5454300581,1.0,0.001516564525837186,2154,0.19214966526282434,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,261632,1.0,62.879306792149464,12027.8806263984,6.320295234255676,13.214280611531407,33.530108374236626,66.80255558536565,330.87333962038235,2852.9802136885155,5916711.391822815,0.32666493395303325,0.16692529965753425,51365.009509277814,1.0,0.0015167540447792952,2152,0.19208223999486088,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,261632,1.0,62.721370987516785,11992.78174859762,6.323040202946821,13.227045340846685,33.544510511786015,66.9052260040605,331.6063126241638,2851.9622603434277,5906385.273062485,0.32700892857142855,0.16692529965753425,51357.87415362202,1.0,0.0015169726099703892,2169,0.19240309741322592,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,261632,1.0,46.786555412946136,2859.0867680554115,6.216772005781328,13.079500287801512,33.239809187741585,66.62199862086989,344.6520802782879,3788.674617126349,1168897.3944933536,0.3235040056262231,0.1650103962818004,51962.26710076794,1.0,0.0014937039516015583,1249,0.2843224200270544,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,100001,261632,1.0,46.763213208593726,2850.07065278129,6.21982188480447,13.08744140643001,33.23892024481328,66.64383466990556,344.28164648393135,3777.715972308332,1167487.4368458746,0.3237677348336595,0.16515946061643835,51956.30194948539,1.0,0.0014921114362233792,1254,0.2839244108193332,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,2,100002,261632,1.0,46.82558966517561,2854.190129253889,6.220163731755074,13.089533878788282,33.210996015328085,66.68964554256269,344.3562591550352,3772.1119634914494,1164519.7785995542,0.3237600905088063,0.1652511925146771,51960.85653691721,1.0,0.0014913414653548252,1248,0.2845824081795911,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,0,100000,261632,1.0,36.61159506329782,1076.3771501523618,6.068261855720486,12.643979725222362,32.03246355033159,64.96240770986037,318.099631068328,3186.996469265381,340281.7716391156,0.3147244985322896,0.15942621697651663,52134.94120052341,1.0,0.0015822642653479904,767,0.3204505296847875,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,1,100001,261632,1.0,36.62207477567075,1081.3474392878675,6.066584968482943,12.650734605293435,32.06563195995556,64.95264336854076,317.47095822683775,3155.4356439592952,343737.94194242754,0.31464805528375733,0.15943768346379647,52133.12340171912,1.0,0.0015805906383442683,769,0.32035079576746717,nan,-1
S-NP,S-NP rescale,0.8,modcog:multidlydmintseq,multidlydmintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,100002,261632,1.0,36.60638506057658,1079.5011955902962,6.0652317749144675,12.655038259957795,32.05420585892011,64.90427618575005,318.1405703478636,3144.947673174962,344612.6371722251,0.3148315190802348,0.15947972725048923,52134.389779500925,1.0,0.0015810469067877387,765,0.32096346302216544,nan,-1
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,100000,261632,1.0,177.30345592197077,63486.552348463774,6.2747674995567895,13.001774310758117,32.600695023902034,65.01076786433703,325.00136755834353,3377.059086524499,32314025.95605882,0.3232899645303327,0.1630572712818004,50461.843426206935,1.0,0.007821921479783143,2172,nan,1.0,2
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,261632,1.0,177.30345592197077,63486.552348463774,6.2747674995567895,13.001774310758117,32.600695023902034,65.01076786433703,325.00136755834353,3377.059086524499,32314025.95605882,0.3232899645303327,0.1630572712818004,50461.843426206935,1.0,0.007821921479783143,2172,nan,1.0,2
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,261632,1.0,177.30345592197077,63486.552348463774,6.2747674995567895,13.001774310758117,32.600695023902034,65.01076786433703,325.00136755834353,3377.059086524499,32314025.95605882,0.3232899645303327,0.1630572712818004,50461.843426206935,1.0,0.007821921479783143,2172,nan,1.0,2
