family,method,cap_percentile,cap_quantile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,post_rec_ct_abscissa_mean,post_rec_ct_abscissa_sd,post_rec_ct_abscissa_sem,abs_post_rec_ct_abscissa_mean,abs_post_rec_ct_abscissa_sd,abs_post_rec_ct_abscissa_sem,raw_post_rec_ct_abscissa_mean,raw_abs_post_rec_ct_abscissa_mean
S-NP,S-NP capped rescale,80,0.8,50,24,24,72,3,3,1.1940329910980332,0.7390086712781819,0.15084951334364435,1.1940329910980332,0.7390086712781819,0.15084951334364435,1.194032991098033,1.194032991098033
S-NP,S-NP capped rescale,80,0.8,60,24,24,72,3,3,1.3215934344463875,0.664387951619725,0.13561762272677025,1.3215934344463875,0.664387951619725,0.13561762272677025,1.3215934344463878,1.3215934344463878
S-NP,S-NP capped rescale,80,0.8,70,24,24,72,3,3,1.5658690697617004,0.5376064881463927,0.10973846486402293,1.5658690697617004,0.5376064881463927,0.10973846486402293,1.5658690697617001,1.5658690697617001
S-NP,S-NP capped rescale,80,0.8,80,24,24,72,3,3,2.079638295703464,0.3161012368569351,0.0645238947801782,2.079638295703464,0.3161012368569351,0.0645238947801782,2.079638295703464,2.079638295703464
S-NP,S-NP capped rescale,90,0.9,50,24,24,72,3,3,1.2039049458172586,0.7390028175429381,0.1508483184549413,1.2039049458172586,0.7390028175429381,0.1508483184549413,1.2039049458172586,1.2039049458172586
S-NP,S-NP capped rescale,90,0.9,60,24,24,72,3,3,1.3325376593404348,0.6630160010677323,0.13533757449304426,1.3325376593404348,0.6630160010677323,0.13533757449304426,1.3325376593404346,1.3325376593404346
S-NP,S-NP capped rescale,90,0.9,70,24,24,72,3,3,1.5838899066050847,0.5317519579808359,0.10854341389824408,1.5838899066050847,0.5317519579808359,0.10854341389824408,1.5838899066050847,1.5838899066050847
S-NP,S-NP capped rescale,90,0.9,80,24,24,72,3,3,2.0976725071668625,0.31219675832650867,0.06372689643757848,2.0976725071668625,0.31219675832650867,0.06372689643757848,2.0976725071668625,2.0976725071668625
S-NP,S-NP rescale,100,1.0,50,24,24,72,3,3,1.2079481722580063,0.7387562313034419,0.1507979842495782,1.2079481722580063,0.7387562313034419,0.1507979842495782,1.207948172258006,1.207948172258006
S-NP,S-NP rescale,100,1.0,60,24,24,72,3,3,1.3400114816096094,0.6607403287978907,0.13487305483613482,1.3400114816096094,0.6607403287978907,0.13487305483613482,1.3400114816096094,1.3400114816096094
S-NP,S-NP rescale,100,1.0,70,24,24,72,3,3,1.5921427839332158,0.5321645395366407,0.1086276317556612,1.5921427839332158,0.5321645395366407,0.1086276317556612,1.5921427839332156,1.5921427839332156
S-NP,S-NP rescale,100,1.0,80,24,24,72,3,3,2.1047522889243235,0.32278574145824007,0.06588836356821849,2.1047522889243235,0.32278574145824007,0.06588836356821849,2.104752288924323,2.104752288924323
